Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Leave the EU,Remain in the EU,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Opinium,2016-06-20,2016-06-22,2016-06-22T17:00:17Z,3011,Adults,Internet,45,44,9,http://elections.huffingtonpost.com/pollster/polls/opinium-24740,http://ourinsight.opinium.co.uk/sites/ourinsight.opinium.co.uk/files/euref_final_vi.pdf,Nonpartisan,None
YouGov/The Times,2016-06-20,2016-06-22,2016-06-22T21:44:54Z,3641,Registered Voters,Internet,45,45,8,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24747,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/atmwrgevvj/TimesResults_160622_EVEOFPOLL.pdf,Nonpartisan,None
Ipsos MORI/Evening Standard,2016-06-21,2016-06-22,2016-06-23T12:00:49Z,,Likely Voters,Live Phone,48,52,,http://elections.huffingtonpost.com/pollster/polls/ipsos-mori-evening-standard-24749,http://www.mirror.co.uk/news/uk-news/eu-referendum-2016-poll-results-7699714,Nonpartisan,None
NBC/SurveyMonkey,2016-06-20,2016-06-22,2016-06-23T02:44:19Z,6571,Likely Voters,Internet,46,51,3,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24748,https://drive.google.com/file/d/0B99Qs2h04TA7MVJPRlZRRnV1S00/view,Nonpartisan,None
TNS,2016-06-16,2016-06-22,2016-06-22T17:47:56Z,1658,Likely Voters,Internet,49,42,8,http://elections.huffingtonpost.com/pollster/polls/tns-24743,http://big.assets.huffingtonpost.com/ethodological_note__tables___22.06.2016_poll.pdf,Nonpartisan,None
ComRes/Daily Mail/ITV News,2016-06-17,2016-06-22,2016-06-22T21:34:26Z,713,Likely Voters,Live Phone,42,48,11,http://elections.huffingtonpost.com/pollster/polls/comres-daily-mail-itv-news-24746,http://www.comres.co.uk/polls/daily-mail-itv-news-eu-referendum-poll-2/,Nonpartisan,None
NBC/SurveyMonkey,2016-06-20,2016-06-21,2016-06-22T14:40:37Z,3969,Likely Voters,Internet,47,50,3,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24737,http://big.assets.huffingtonpost.com/SMBrexitTopline_6_21.pdf,Nonpartisan,None
Survation/IG Group,2016-06-20,2016-06-20,2016-06-21T14:32:04Z,959,Likely Voters,Live Phone,40,41,10,http://elections.huffingtonpost.com/pollster/polls/survation-ig-group-24727,http://survation.com/wp-content/uploads/2016/06/IG-Tables-21st-June.pdf,Nonpartisan,None
NBC/SurveyMonkey,2016-06-17,2016-06-20,2016-06-22T14:48:21Z,4202,Likely Voters,Internet,49,48,3,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24738,http://big.assets.huffingtonpost.com/SMBrexitTopline_6_20.pdf,Nonpartisan,None
YouGov/The Times,2016-06-17,2016-06-19,2016-06-21T00:44:11Z,1652,Adults,Internet,44,42,9,http://elections.huffingtonpost.com/pollster/polls/yougov-the-times-24719,https://yougov.co.uk/news/2016/06/20/eu-referendum-leave-lead-two/,Nonpartisan,None
ORB/The Daily Telegraph,2016-06-14,2016-06-19,2016-06-21T19:57:08Z,567,Likely Voters,Live Phone,46,53,2,http://elections.huffingtonpost.com/pollster/polls/orb-the-daily-telegraph-24730,http://www.opinion.co.uk/perch/resources/poll-190616-tables-weighted-v4.pdf,Nonpartisan,None
Survation/Mail on Sunday,2016-06-17,2016-06-18,2016-06-20T02:58:34Z,971,Likely Voters,Live Phone,42,46,,http://elections.huffingtonpost.com/pollster/polls/survation-mail-on-sunday-24708,http://survation.com/wp-content/uploads/2016/06/Final-18-June-Mos-EU-poll-Tables-part-1.pdf,Nonpartisan,None
YouGov/Sunday Times,2016-06-16,2016-06-17,2016-06-18T22:23:49Z,1694,Adults,Internet,43,44,9,http://elections.huffingtonpost.com/pollster/polls/yougov-sunday-times-24706,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2t6fjf3032/SundayTimeslResults_160617_EUReferendum_W.pdf,Nonpartisan,None
Opinium/Observer,2016-06-14,2016-06-17,2016-06-18T21:13:45Z,2006,Adults,Internet,44,44,10,http://elections.huffingtonpost.com/pollster/polls/opinium-observer-24705,http://ourinsight.opinium.co.uk/sites/ourinsight.opinium.co.uk/files/vi_14_06_2016.pdf,Nonpartisan,None
YouGov/GMB,2016-06-15,2016-06-16,2016-06-18T22:27:58Z,1734,Adults,Internet,43,42,9,http://elections.huffingtonpost.com/pollster/polls/yougov-gmb-24707,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2t6fjf3032/SundayTimeslResults_160617_EUReferendum_W.pdf,Nonpartisan,None
